DOWJ,AAL,AAPL,AMZN,CAT,CBRE,CVS,DAL,DD,DIA,DIS,ED,F,FB,GE,GLD,GOOGL,HLT,HYG,IYR,JPM,MSFT,NFLX,SBUX,SPY,T,TLT,TSLA,TWTR,USO,UUP,WMT,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XOM
0.004239173,0.018450913,0.017904668,0.016708457,-0.00342677,0.011775532,0.014068884,0.013214211,0.009547742,0.002586985,0.039903378,-0.016127082,0.013610917,0.028108304,0.030372533,0.012131015,0.018805711,-0.00225397,0.000916291,-0.005061014,0.009444444,0.004792842,0.047457805,0.003482581,0.007157382,-0.008744897,-0.010799475,0.029484479,0.020824656,0.004995792,-0.004161473,-0.001620281,0.014207782,0.016468295,0.00035806,0.005946928,0.01235343,-0.006152297,-0.009301477,0.011248143,0.015199101,0.016619034
0.003974778,-0.012266402,-0.000174277,0.012775285,0.00152805,0.008443609,-0.00435253,-0.018505519,0.015994542,0.003749697,0.00429326,-0.009452003,0.007898793,0.017914232,0.00945507,-0.00263685,0.017061022,0.014683758,0.004809036,-0.001612949,0.001019037,0.004653742,0.01979408,0.018740032,0.006325035,-0.023092742,0.004781271,-0.010233048,-0.002447959,0.02236955,0.003761002,0.008723014,0.007004407,0.014976024,0.005372564,0.005386056,0.008340864,-0.000353783,-0.007855738,0.009568462,0.004591178,0.019640055
0.006116966,0.006304933,0.004644936,0.004476013,0.013733643,-0.003168124,0.026365995,0,0.019164963,0.006628154,-0.000445217,-0.011716156,0.017241487,-0.001841102,0.020936802,0.005127379,0.003884482,-0.007421076,0.001709216,-0.01565811,0.014325682,0.008801664,0.002828587,0.003747299,0.004214815,0.009296066,-0.000158566,-0.008290008,-0.018813946,0.002431097,-0.003330532,0.000904958,0.008734907,0.00603643,0.00926256,0.007317549,0.00505538,0.002830909,-0.008304519,0.001421298,0.003278853,0.001384259
0.008803076,-0.000379644,0.011385287,0.016162542,0.015805312,0.004994352,0.044190254,0.005027901,0.01302885,0.008459651,-0.005435365,-0.000977976,0.016949088,0.013671156,0.00053962,-0.001036165,0.01326023,-0.011962689,0.000682775,0.001009978,-0.006419612,0.012398123,0.021203134,0.011539165,0.006663979,0.003684132,-0.002855475,0.00622971,0.013755729,-0.004850401,0.000835292,0.005927344,0.008018086,-0.000400121,0.002823852,0.006874859,0.010516714,0.004410759,-0.000389417,0.008517852,0.007922191,-0.0008065
-0.000508745,-0.009876654,-0.003714212,0.014424704,0.025129646,0.012875529,-0.008667821,-0.023048103,-0.003447355,-0.000514478,-0.014334344,0.01406895,-0.003787789,0.007653158,-0.01402377,-0.000159613,0.003530539,0.020809746,-0.000795847,0.005675436,0.00147661,0.001020375,0.009809979,-0.005032863,0.001828859,0.002884282,-0.000636374,0.062638252,0.011101993,0.005686409,0.004591052,0.01478058,0.001431711,0.006002268,-0.001407809,0.004122797,0.003770656,0.002459161,0.009351245,-0.003636723,0.001179143,0.004495653
0.004066004,-0.000959055,-0.000114732,0.004675673,0.002409179,0.006913501,-0.001028959,-0.009326954,0.00239487,0.004869537,-0.000727179,-0.010616353,-0.005323234,-0.002177627,0.015317121,-0.004628475,-0.001274375,0.012231279,-0.003071511,-0.011537501,0.005069273,-0.000679557,-0.012921507,-0.002191792,0.00226337,-0.006887432,-0.013372561,-0.008085376,-0.017080117,0.0153473,0.00207732,-0.012006478,-0.001588536,-0.002519077,0.007754606,0.006415112,-0.002554433,-0.001401778,-0.009843628,0.011773254,0.001962512,-0.004245823
-0.000656663,0.032641944,-0.000229399,0.001301193,-0.003364646,-0.01949061,-0.003217855,0.031198149,-0.015131493,-0.000788036,-0.004275056,-0.013291153,-0.003822623,-0.000159678,0.01993533,0.002405158,-0.002381424,-0.003417517,-0.002168454,-0.012179813,0.01100404,-0.004534175,0.015336137,0.01081454,-0.001530002,-0.023206513,-0.001210234,0.003326397,0.003309885,0.008751043,-0.002487583,-0.007172113,-0.006046195,-0.00119635,0.008394513,-0.000127338,-0.003464947,-0.004913215,-0.010916139,-0.001745642,-0.000685588,-0.007952371
0.008104322,0.049088985,0.005680182,0.017818356,0.020075967,0.019200327,0.020403119,0.04761893,0.013746736,0.007846266,0.013885111,-0.006549658,0.009976992,-0.000372615,0.004754393,0.003279242,0.001720534,0.017391081,0.003316518,-0.003467846,0.005351381,0.00296053,0.02220968,0.00300905,0.007296057,-0.003822942,0.004119337,0.009408675,0.004123727,0.001577248,-0.004156366,0.003511584,0.013126381,0.020494871,0.00485607,0.012750066,0.004081658,-0.001410605,-0.003744663,0.004313145,0.016269841,0.009874624
0.008932997,0.036334569,0.010326423,0.022339111,0.006501188,-0.005097508,-0.003037317,0.022385589,0.002525988,0.008998197,0.013334542,-0.011195555,0.005319189,-0.044735629,-0.013669861,0.01211732,0.016725844,0.01059365,-0.001709604,-0.00811934,0.016510312,0.017257037,0.018366738,0.006666554,0.00651912,0.011513319,0.001689369,-0.005119133,0.043531805,0.013385833,-0.010434038,0.008498313,0.001580003,0.009650727,0.008974872,0.009316511,0.005871682,0.000353078,-0.005736881,0.007660123,0.012923087,0.006787107
-0.000400341,-0.008380406,-0.005082155,-0.00026047,-0.005813295,-0.005346355,0.00837778,-0.00802284,-0.00610013,-0.000387645,-0.015826419,-0.005912398,-0.00982625,-0.005463543,-0.029317753,0.001654057,4.42E-05,-0.006551476,-0.000571008,0.002728637,-0.003550019,-0.013950889,0.001356069,0.002649108,-0.003418212,-0.00487826,0.004176191,0.011421082,-0.029515939,-0.008546982,-0.005482855,-0.001784436,-0.011673713,-0.012658061,-0.002736972,-0.008980937,-0.003891605,0.004589679,-0.002188651,0.004952713,-0.007140889,-0.006284224
